,Start Latitude,Start Longitude,Number Out,Number In
72,40.69196035,-73.96536851,95141,112945
73,40.759107,-73.959223,68350,81951
74,40.7643971,-73.97371465,471569,512761
75,40.76341379,-73.99667444,259089,290473
76,40.71406667,-73.99293911,186299,216196
77,40.68764484,-73.96968902,63377,73022
78,40.72066442,-73.98517977,315099,361280
79,40.74290902,-73.97706058,373702,436225
80,40.7172274,-73.98802084,238993,309576
81,40.72405549,-74.00965965,243237,275515
82,40.69308257,-73.97178913,110153,130601
83,40.71625008,-74.0091059,195014,230251
84,40.74395411,-73.99144871,379692,441838
85,40.75645824,-73.99372222,186293,190917
86,40.76370739,-73.9851615,338596,394012
87,40.75172632,-73.98753523,186449,195672
88,40.76087502,-74.00277668,558531,670428
89,40.70122128,-74.01234218,195770,237804
90,40.73049393,-73.9957214,92144,94068
91,40.72317958,-73.99480012,367465,435595
92,40.7361967,-74.00859207,226514,261924
93,40.70862144,-74.00722156,156475,179041
94,40.70277159,-73.99383605,204495,253195
95,40.73587678,-73.98205027,366508,433515
96,40.695065,-73.987167,133228,163790
97,40.739323,-74.008119,365979,432349
98,40.746745,-74.007756,540004,562980
99,40.72467721,-73.98783413,175200,209786
100,40.73226398,-73.99852205,254349,299776
101,40.683048,-73.964915,34505,34571
102,40.72243797,-74.00566443,244022,288981
103,40.701907,-74.013942,156177,185084
104,40.69196566,-73.9813018,132676,145666
105,40.69766564,-73.98476437,59018,70357
106,40.76019252,-73.9912551,388779,449431
107,40.73971301,-73.99456405,463341,539521
108,40.72299208,-73.97995466,164566,189076
109,40.74780373,-73.9734419,382174,378161
110,40.72679454,-73.99695094,120910,124443
111,40.689888,-73.981013,140063,216214
112,40.75206862,-73.96784384,126862,149627
113,40.746647,-73.993915,402565,468276
114,40.76030096,-73.99884222,342061,432108
115,40.71754834,-74.01322069,694145,833981
116,40.72953837,-73.98426726,334181,397688
117,40.71117416,-74.00016545,84757,100024
118,40.72490985,-74.00154702,177211,189982
119,40.71285887,-73.96590294,198645,258688
120,40.71559509,-73.9870295,259040,335252
121,40.7208736,-73.98085795,203616,246595
122,40.71307916,-73.99851193,154805,186226
123,40.73047747,-73.99906065,320951,374328
124,40.74195138,-74.00803013,116605,126563
125,40.76227205,-73.98788205,361074,407343
126,40.76344058,-73.98268129,255040,251604
127,40.75466591,-73.99138152,463383,459166
128,40.7390169121,-74.0026376103,443812,535544
129,40.71850211,-73.98329859,162531,199978
130,40.72917025,-73.99810231,349820,411073
131,40.71534825,-73.96024116,243626,309918
132,40.72015227023285,-74.01036500930786,16046,15958
133,40.69165183,-73.9999786,143915,188629
134,40.73492695,-73.99200509,423216,437579
135,40.7489006,-73.97604882,302497,296178
136,40.7403432,-73.98955109,674669,713852
137,40.71494807,-74.00234482,179216,209699
138,40.68683208,-73.9796772,64296,91294
139,40.74691959,-74.00451887,432419,509434
140,40.72019576,-73.98997825,339040,400402
141,40.70823502,-74.00530063,128228,130673
142,40.74177603,-74.00149746,309915,353694
143,40.68753406,-73.97265183,91085,104057
144,40.770513,-73.988038,222297,261430
145,40.76228826,-73.98336183,254201,301532
146,40.70255065,-74.0127234,128710,138312
147,40.68415748,-73.96922273,57798,62843
148,40.76269882,-73.99301222,283360,334220
149,40.74238787,-73.99726235,355941,420567
150,40.73038599,-74.00214988,546525,652873
151,40.728846,-74.008591,285363,342056
152,40.74854862,-73.98808416,282395,275953
153,40.73331967,-73.99510132,232623,234801
154,40.680342423,-73.9557689392,61516,74312
155,40.76020258,-73.96478473,63706,62594
156,40.72779126,-73.98564945,324959,377614
157,40.74487634,-73.99529885,452268,528649
158,40.751396,-74.005226,370142,432303
159,40.74334935,-74.00681753,312930,367246
